City,Locality,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Total_Votes,Most_Common_Cuisine
New Delhi,"Moments Mall, Kirti Nagar",23,3.2347826086956526,567.3913043478261,1.6956521739130435,1477,North Indian
Noida,Sector 44,23,1.7695652173913046,445.6521739130435,1.5217391304347827,672,North Indian
New Delhi,Qutab Institutional Area,23,0.3782608695652174,310.8695652173913,1.2173913043478262,36,North Indian
New Delhi,Lajpat Nagar 2,22,3.1045454545454545,584.0909090909091,1.9545454545454546,1527,North Indian
New Delhi,Kailash Colony,22,2.0681818181818183,604.5454545454545,1.6818181818181819,3790,North Indian
Noida,Sector 12,22,1.3272727272727272,345.45454545454544,1.3181818181818181,1356,North Indian
Gurgaon,DLF Phase 4,21,3.804761904761905,750.0,2.1904761904761907,3414,North Indian
New Delhi,"Epicuria Food Mall, Nehru Place",21,3.338095238095238,969.047619047619,2.142857142857143,7449,North Indian
New Delhi,Jasola,21,3.0,607.1428571428571,1.8095238095238095,896,Fast Food
Gurgaon,Sector 17,21,0.1619047619047619,352.3809523809524,1.2380952380952381,266,North Indian
Athens,Athens,20,4.2,1812.7900000000002,1.6,12750,American
Valdosta,Valdosta,20,3.715,2790.7425,2.25,4200,Mexican
Dubuque,Dubuque,20,3.535,2313.6925,1.9,2021,American
New Delhi,"Dilli Haat, INA",20,3.225,492.5,1.35,1106,Chinese
Faridabad,Sector 37,20,1.5150000000000001,362.5,1.35,268,North Indian
New Delhi,Mehrauli,20,0.585,350.0,1.2,38,North Indian
Gurgaon,Sector 39,20,0.3,395.0,1.4,17,Chinese
New Delhi,Pandav Nagar,20,0.29,320.0,1.15,16,North Indian
Columbus,Columbus,19,4.010526315789474,2535.8973684210528,2.1052631578947367,5152,American
Albany,Albany,19,3.5631578947368423,2083.955263157895,1.736842105263158,1656,Steak
Noida,"Supertech Shopprix Mall, Sector 61",19,2.5157894736842104,713.1578947368421,2.1052631578947367,1396,North Indian
New Delhi,Lodhi Road,19,2.4210526315789473,628.9473684210526,1.6842105263157894,3316,North Indian
Faridabad,Suraj Kund,19,1.5421052631578949,389.4736842105263,1.4736842105263157,116,North Indian
Noida,Sector 53,19,1.3894736842105262,428.94736842105266,1.4736842105263157,682,North Indian
Gurgaon,Ardee City,19,0.47368421052631576,434.2105263157895,1.4736842105263157,77,North Indian
Boise,Boise,18,4.266666666666667,2544.266666666667,2.0,9525,American
Savannah,Savannah,18,4.188888888888889,3180.3333333333335,2.388888888888889,14185,American
Sioux City,Sioux City,18,3.783333333333333,1987.7083333333333,1.7222222222222223,2998,American
Allahabad,Civil Lines,18,3.3944444444444444,519.4444444444445,2.6666666666666665,1200,North Indian
Gurgaon,"Sushant Shopping Arcade, Sushant Lok, Gurgaon",18,3.1944444444444446,555.5555555555555,1.7222222222222223,598,North Indian
New Delhi,"Community Centre, New Friends Colony",18,2.927777777777778,666.6666666666666,1.7222222222222223,1517,North Indian
Noida,Sector 93,18,2.0833333333333335,413.8888888888889,1.4444444444444444,564,North Indian
Gurgaon,"Supermart 1, DLF Phase 4",17,3.7529411764705882,700.0,1.8823529411764706,3427,North Indian
Gurgaon,"DLF Galleria, DLF Phase 4",17,3.5823529411764703,767.6470588235294,1.8823529411764706,3208,Fast Food
Ghaziabad,"Shipra Mall, Indirapuram",17,3.0294117647058822,729.4117647058823,2.0588235294117645,1938,Fast Food
Gurgaon,"Vyapar Kendra, Sushant Lok",17,2.9529411764705884,376.47058823529414,1.2941176470588236,1498,North Indian
New Delhi,Prashant Vihar,17,1.6235294117647059,447.05882352941177,1.3529411764705883,127,Chinese
Faridabad,Sector 16,17,1.6058823529411765,379.4117647058824,1.1764705882352942,156,North Indian
Pocatello,Pocatello,16,3.45625,2146.725,1.875,2270,Pizza
New Delhi,Barakhamba Road,16,2.40625,440.625,1.4375,1786,North Indian
Noida,"Spice World Mall, Sector 25",16,1.90625,662.5,1.9375,1969,North Indian
Wellington City,Te Aro,15,4.3,3875.556666666667,3.1333333333333333,2184,Cafe
Augusta,Augusta,15,4.14,2766.89,2.2666666666666666,6406,American
Gurgaon,"DLF South Point Mall, Golf Course Road",15,3.7066666666666666,1120.0,2.533333333333333,2920,Bakery
Davenport,Davenport,15,3.546666666666667,2480.6600000000003,2.0,2310,American
New Delhi,"Basant Lok Market, Vasant Vihar",15,3.2199999999999998,900.0,2.2,1875,Fast Food
Gurgaon,"DLF Mega Mall, DLF Phase 1",15,2.8066666666666666,696.6666666666666,1.9333333333333333,1036,Fast Food
New Delhi,SDA,15,2.7933333333333334,523.3333333333334,1.6666666666666667,609,Bakery
New Delhi,Mayapuri Phase 2,15,2.5,366.6666666666667,1.1333333333333333,179,North Indian
New Delhi,Lawrence Road,15,1.9866666666666668,386.6666666666667,1.2666666666666666,903,Fast Food
New Delhi,Civil Lines,15,1.76,483.3333333333333,1.4666666666666666,771,Chinese
New Delhi,Ashok Vihar Phase 2,14,3.3785714285714286,767.8571428571429,2.0714285714285716,2343,North Indian
Noida,"Gardens Galleria, Sector 38 Noida",14,1.8857142857142857,867.8571428571429,2.0714285714285716,1483,Fast Food
New Delhi,"Worldmark 1, Aerocity",14,1.1500000000000001,582.1428571428571,1.8571428571428572,93,Fast Food
Faridabad,Sector 21,14,0.8357142857142856,307.14285714285717,1.1428571428571428,54,North Indian
New Delhi,Zakir Nagar,14,0.0,339.2857142857143,1.2142857142857142,4,Fast Food
New Delhi,"DLF Promenade Mall, Vasant Kunj",13,3.7615384615384615,573.0769230769231,1.6153846153846154,1946,Desserts
Waterloo,Cedar Falls,13,3.646153846153846,2054.984615384615,1.7692307692307692,1436,Pizza
New Delhi,PVR Anupam Complex,13,3.430769230769231,769.2307692307693,2.076923076923077,2412,Fast Food
New Delhi,Adchini,13,3.2923076923076926,823.0769230769231,2.0,1560,North Indian
Gurgaon,"Qutab Plaza, DLF Phase 1",13,3.1076923076923078,496.15384615384613,1.5384615384615385,545,Fast Food
New Delhi,"Living Style Mall, Jasola",13,2.9846153846153842,553.8461538461538,1.7692307692307692,817,North Indian
Noida,"Jaipuria Plaza, Sector 26, Noida",13,2.9692307692307693,457.6923076923077,1.5384615384615385,1502,Chinese
New Delhi,South Extension 1,13,2.169230769230769,507.6923076923077,1.6153846153846154,989,Fast Food
